"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"VrA8dl-2B@VYC-Wt%h5A"
"angele.edgecumbe@edu.tbz.ch"|"RHXauR-Wpuccc-R9VeXv"
"zhi.andreasson@edu.tbz.ch"|"2MAXRv-TgnifK-WjoMT4"
"judicael.koppeck@edu.tbz.ch"|"8vwJkx-o#Jzab-F9cfZl"
"berengere.capron@edu.tbz.ch"|"f0KWef-7XnuNH-LFeN%p"
"leonie.brosini@edu.tbz.ch"|"lPCNPp-G6SQZc-V2OEz3"
"venus.garfit@edu.tbz.ch"|"C@jKO@-xb@BW2-HfKknz"
"melina.janota@edu.tbz.ch"|"OxjQ7C-YugcsG-b9jH5A"
"laurene.bake@edu.tbz.ch"|"Na6W91-zFoxeO-YcY2Zo"
"regine.dorkins@edu.tbz.ch"|"6c7yyz-QQD%jc-DC#SE&"
"cecile.moffet@edu.tbz.ch"|"Q2EbYB-sTuG7J-3%cXoL"
"maelann.labrone@edu.tbz.ch"|"N789ep-jkBcoN-aA#zY&"
"melinda.newbold@edu.tbz.ch"|"wJf%&o-tZlVx4-tlsb4s"
"mans.itzhak@edu.tbz.ch"|"2WKpkj-N@oiUE-FlCtEk"
"melodie.pattlel@edu.tbz.ch"|"ytD4xD-2U$iBY-aT3DTZ"
"celine.bonett@edu.tbz.ch"|"tXx@as-b&#&$r-@8iWd3"
"adelie.mcgreal@edu.tbz.ch"|"mDuygT-hc%Zz5-IPTmXg"
"helene.soldan@edu.tbz.ch"|"bTiYL7-5RrpMJ-I6plWp"
"michele.cluer@edu.tbz.ch"|"vwL@Xn-dyzsqK-oY3k0#"
"maeline.mueller@edu.tbz.ch"|"Il$mzb-8%gggQ-W8PKlh"
"maelann.benedito@edu.tbz.ch"|"HEWi$e-ePouS5-MJpE$1"
"nuo.gransden@edu.tbz.ch"|"tBXvVh-WraENv-vAw984"
"berengere.stainton@edu.tbz.ch"|"yfRgJH-lUJ0pp-%g$@$a"
"wa.sabater@edu.tbz.ch"|"NM%Sfd-CJScc4-Cb%8@H"
"anais.cochran@edu.tbz.ch"|"g%qztF-EkDAJy-ugo%W3"
"gerald.bessant@edu.tbz.ch"|"93fIJ@-@IK0Qb-#%I@A5"
"ruo.coffin@edu.tbz.ch"|"$3oiqv-iVmVAw-aRNB@p"
"melodie.mustill@edu.tbz.ch"|"$Icodl-bO4vNt-SQkNk4"
"ruo.stanesby@edu.tbz.ch"|"kkUl1E-o%UZVk-rrwH7h"
"noemie.antognelli@edu.tbz.ch"|"QMCcFN-$@0PRT-0Csd8M"
"maelann.hughson@edu.tbz.ch"|"Dg1lI4-%sfuoH-M%vTRm"
"milena.mieville@edu.tbz.ch"|"JdLX%T-Cv%qaa-qot13U"
"mailys.chamberlin@edu.tbz.ch"|"q8y%$#-md1iL5-%07Ep6"
"nadege.tomalin@edu.tbz.ch"|"RGf&Tm-Pa#1IV-E0nUi$"
"oceane.omara@edu.tbz.ch"|"a7aoH$-AiIi7T-vFdEAA"
"cecile.aguirrezabala@edu.tbz.ch"|"xwnHal-4nS90n-aEUlkg"
"maella.gwillim@edu.tbz.ch"|"DqWMfN-iS@$@n-R1OHm4"
"lea.mcgahey@edu.tbz.ch"|"Wlva5r-pV2t9t-DcoB#W"
"laurene.hagerty@edu.tbz.ch"|"acnewj-b&66mw-JXM2tQ"
"dorothee.link@edu.tbz.ch"|"nG0H6S-fm%$Qr-W1OQaQ"
"clementine.kynsey@edu.tbz.ch"|"$kwWE9-xd8ITG-enXKEd"
"lorene.smitherman@edu.tbz.ch"|"NiSjo3-6aRhCm-6UFZFI"
"cleopatre.klulicek@edu.tbz.ch"|"7j#qOO-3PI$mH-HjoU9m"
"laurene.castaneda@edu.tbz.ch"|"AC#SGD-1v1&%T-uDgSG9"
"melia.constant@edu.tbz.ch"|"CQ7db6-1ycoEG-u9A7#5"
"lucrece.clunie@edu.tbz.ch"|"4cpm9J-7wYWHE-Qbw87A"
"eleonore.mcmurthy@edu.tbz.ch"|"BCudp8-SpdTbs-hw50sy"
"melia.bevar@edu.tbz.ch"|"kjeAKY-Lp0E%B-DTquyY"
"camelia.bontine@edu.tbz.ch"|"Ippy$H-Q$R@pL-xK#gSR"
"methode.jozefczak@edu.tbz.ch"|"AqXQBG-F0Vwws-KwczW6"
"audreanne.hinsche@edu.tbz.ch"|"ioLv0Z-sM7Af9-blLcHm"
"andree.varne@edu.tbz.ch"|"n2WMct-P58RPW-Zez2pT"
"marten.kinleyside@edu.tbz.ch"|"G3sg0f-ArUpE6-Yhy%oL"
"esteve.mcewan@edu.tbz.ch"|"$K8y0z-ADqddy-fS9#M@"
"leane.dibbert@edu.tbz.ch"|"qQIAes-qc9&H1-OM%#5u"
"ma.thewlis@edu.tbz.ch"|"JLNO0V-1U2awU-15ZqGg"
"clea.djurkovic@edu.tbz.ch"|"$7yK12-DAXk7C-lZvu$9"
"rachele.reburn@edu.tbz.ch"|"&RHR$P-5keIHA-eKuhbt"
"gerald.gowling@edu.tbz.ch"|"AFw9RF-@ny6mT-51oRjx"
"cleopatre.jackson@edu.tbz.ch"|"SHHyhc-iU1$zS-i95ry$"
"desiree.haskins@edu.tbz.ch"|"DdLfA1-Xiyspr-3jNjv9"
"eleonore.longson@edu.tbz.ch"|"b@E62e-29yhRN-VBd8PM"
"leane.dybell@edu.tbz.ch"|"WBF@48-f@X8l@-vq7FFM"
"becassine.grzesiak@edu.tbz.ch"|"j#K#Y&-dsMiUo-nRkbX4"
"marie-josee.pickin@edu.tbz.ch"|"npCF4D-1CIkud-O8lqSC"
"marie-josee.roxby@edu.tbz.ch"|"lF3qJ3-AbzUgw-E4$g%C"
"leonie.feenan@edu.tbz.ch"|"RJ%e3t-mzphRo-Q%ziAZ"
"valerie.ellum@edu.tbz.ch"|"N5BiSr-GhApZy-XYmvrY"
"ju.caseri@edu.tbz.ch"|"92tD9u-YkZx5p-OxMU1u"
"boerje.strangman@edu.tbz.ch"|"fpHd6a-HR#xpp-vlsGX6"
"beatrice.ghidelli@edu.tbz.ch"|"jpuluJ-1QLBnL-rsu4UH"
"da.jablonski@edu.tbz.ch"|"Nx%iS%-Jv8be$-ntE7xL"
"uo.beveridge@edu.tbz.ch"|"wLD7#K-vMNWck-fktrQ1"
"valerie.bestman@edu.tbz.ch"|"ZSqPAJ-7iFgsF-E2JbWs"
"marlene.pohls@edu.tbz.ch"|"fcS3hS-CbcwUe-Lf#@4i"
"ma.nolda@edu.tbz.ch"|"@LXU89-96LZ%T-iWWPP2"
"marlene.bisiker@edu.tbz.ch"|"hr3Dd8-JUwHnv-hPOhnX"
"estee.babon@edu.tbz.ch"|"j@dtlA-3XrrZv-Cn4pp0"
"simplifies.dmisek@edu.tbz.ch"|"pmF8um-n1kYr@-kVybqT"
"selene.ganing@edu.tbz.ch"|"@hgBzx-I1HQ22-mfNXSj"
"meryl.penke@edu.tbz.ch"|"XgtIX0-iQ3kwS-YQCEV%"
"anais.rawcliff@edu.tbz.ch"|"f8rjXZ-86tB85-sOhu1R"
"melina.andri@edu.tbz.ch"|"uUh%No-CS2fim-t70aR1"
"audreanne.fodden@edu.tbz.ch"|"Um4fL6-niLXrE-E1nqWg"
"bjoern.spellesy@edu.tbz.ch"|"EEI0R6-0m$95D-Dc%kv%"
"francoise.summerscales@edu.tbz.ch"|"LaGUog-JVt75P-U%@Ka3"
"laurene.ashtonhurst@edu.tbz.ch"|"7H1BnK-&pqWK0-aG9pF1"
"valerie.petters@edu.tbz.ch"|"sI%1ru-D$$BK@-0Ep8f0"
"anael.spenclay@edu.tbz.ch"|"89ZvyY-RYwOI@-UUY#gx"
"stephanie.keech@edu.tbz.ch"|"jbt$F4-aOkr8p-wZoROT"
"ines.deveril@edu.tbz.ch"|"Kr&ffD-Vf%jE8-MLmAfh"
"berenice.gelder@edu.tbz.ch"|"Z&JhWk-nq7mT8-tBI0sv"
"melanie.ofogerty@edu.tbz.ch"|"7d58&H-9Hnxvt-SF$@Vz"
"frederique.canepe@edu.tbz.ch"|"oLaQJz-JFeEJL-R6epaf"
"nuo.otton@edu.tbz.ch"|"kcP$UF-@kArn9-tDoIlJ"
"genevieve.trusler@edu.tbz.ch"|"TH&&4X-Am&zQf-CfP0Wh"
"ju.boag@edu.tbz.ch"|"M&wix$-TuueS1-aVRwuK"
"josephine.dilucia@edu.tbz.ch"|"m6eifb-E72po5-2vAC8Y"
"laurene.armsden@edu.tbz.ch"|"wHc1MG-4XfHNK-5vdyOL"
"becassine.griffe@edu.tbz.ch"|"6UafZ1-LUTcs8-GeBDpM"
"alois.parres@edu.tbz.ch"|"k0OUjj-jepVpU-9Yie0l"
"cleopatre.gaffey@edu.tbz.ch"|"$1Wi8n-QZ9sBC-HDa0yA"
"andre.stiger@edu.tbz.ch"|"hJoZ3e-wzGJt7-X547So"
"beatrice.godleman@edu.tbz.ch"|"8vv#QH-2%1R99-jOdoP6"
"hakan.harrhy@edu.tbz.ch"|"LyKTNb-qLWOzu-gW3Qed"
"celestine.dagnan@edu.tbz.ch"|"b4RnrL-afBTRC-L13toK"
"clemence.haggart@edu.tbz.ch"|"PYs8%o-fnO2kd-hby9F@"
"long.caban@edu.tbz.ch"|"qvLWpU-&4N1Mx-DPg$y7"
"gaetane.grimble@edu.tbz.ch"|"$kaxXa-yHbAH0-cDOctG"
"maelann.piwall@edu.tbz.ch"|"futcui-daxdCo-zR@uzj"
"magdalene.loble@edu.tbz.ch"|"LVK#LS-1R%1$C-81hfXJ"
"veronique.domaschke@edu.tbz.ch"|"LUtMwS-80UMVj-zkV5EP"
"clea.herity@edu.tbz.ch"|"R9@YG2-L1asu#-Zo5a9A"
"maelann.bambrough@edu.tbz.ch"|"W%XMvg-#mNv1D-6ljkFS"
"clea.goulstone@edu.tbz.ch"|"cx2SRp-p$HwV0-4CnQik"
"renee.deleek@edu.tbz.ch"|"NMMmLa-#iXD%6-$68O$l"
"boerje.rudderham@edu.tbz.ch"|"rZlZ1w-dODifq-lqR9I3"
"marylene.broune@edu.tbz.ch"|"nL3bSM-$@c6ls-q3ftTa"
"nadege.mccuish@edu.tbz.ch"|"#fzkfr-byc%kg-UhJoH%"
"anael.littleover@edu.tbz.ch"|"9vpX%2-c8$K#z-s2MZb#"
"lie.baume@edu.tbz.ch"|"2fHZ$I-$butT0-ra&%Va"
"maella.murrow@edu.tbz.ch"|"4WZqqy-aYWUt2-#eHBbs"
"cleopatre.pettifor@edu.tbz.ch"|"tp94hX-Do8A7l-CEr1jt"
"geraldine.asker@edu.tbz.ch"|"yH0jQx-sE7E7m-hgz#EV"
"gaetane.smedmore@edu.tbz.ch"|"BT4ZVf-mtY670-ubmWUL"
"meryl.blencoe@edu.tbz.ch"|"4GTJL8-4dO5Hj-JnmZZL"
"aurelie.chastaing@edu.tbz.ch"|"BlIsbG-v02myO-aXDPDA"
