"email"|"password"
"melodie.vandervlies@edu.tbz.ch"|"X&YyKY-GKu%iZ-EREuf9"
"angele.edgecumbe@edu.tbz.ch"|"ZV7Iub-qytKTF-tTn9cw"
"zhi.andreasson@edu.tbz.ch"|"QyM6#V-MXg1uY-N1pDfr"
"judicael.koppeck@edu.tbz.ch"|"sEfDHq-ipmNyO-3T4153"
"berengere.capron@edu.tbz.ch"|"4Jd4Nw-1SVJS3-Szr&Jr"
"leonie.brosini@edu.tbz.ch"|"uwsphC-&muK#P-Sw7zj9"
"venus.garfit@edu.tbz.ch"|"zAIQry-GNaCQa-HHIT4B"
"melina.janota@edu.tbz.ch"|"Ch64E@-FW7eWM-fSpqev"
"laurene.bake@edu.tbz.ch"|"Jqu5b$-a5DoN6-xH9ZiU"
"regine.dorkins@edu.tbz.ch"|"Bf&Qd6-94OwD7-LTsZvQ"
"cecile.moffet@edu.tbz.ch"|"B2xHG0-eZTZlF-Skfz#w"
"maelann.labrone@edu.tbz.ch"|"NUFpLO-5AAkUL-M61f&Y"
"melinda.newbold@edu.tbz.ch"|"8049cX-%Q3s3k-EF&axo"
"mans.itzhak@edu.tbz.ch"|"YLDCNW-cpBCZt-@UJyMV"
"melodie.pattlel@edu.tbz.ch"|"J&UNZN-3Ctcxg-4RA58@"
"celine.bonett@edu.tbz.ch"|"XuqPc4-tOeDhG-Im0tFC"
"adelie.mcgreal@edu.tbz.ch"|"RQyNMi-x1DyZO-GgPh4Q"
"helene.soldan@edu.tbz.ch"|"@uO@6t-kv08dK-qSkL$U"
"michele.cluer@edu.tbz.ch"|"Wl1cjF-&Q0V#S-doNmuw"
"maeline.mueller@edu.tbz.ch"|"6&B3kn-G$EqqL-pZ1yJo"
"maelann.benedito@edu.tbz.ch"|"MYX#is-NY8mQW-cRrDhr"
"nuo.gransden@edu.tbz.ch"|"8gV$uM-B05kdE-9u8@f9"
"berengere.stainton@edu.tbz.ch"|"L9nW#7-uryKSS-HJGr9V"
"wa.sabater@edu.tbz.ch"|"zD5pLj-vob&kg-RfGMRV"
"anais.cochran@edu.tbz.ch"|"P#X@As-oZgSHi-QRKvWm"
"gerald.bessant@edu.tbz.ch"|"zSxhM2-#Pgzip-cl7dhF"
"ruo.coffin@edu.tbz.ch"|"JHElUX-#7wTa4-fJoCdH"
"melodie.mustill@edu.tbz.ch"|"w%cVCL-Oi$&hV-ZL#PJd"
"ruo.stanesby@edu.tbz.ch"|"619Fvw-OixE1&-S#DE8Y"
"noemie.antognelli@edu.tbz.ch"|"oJfH9h-vx7&UB-SUc&cR"
"maelann.hughson@edu.tbz.ch"|"I7D00K-lCIf3g-iNyKCn"
"milena.mieville@edu.tbz.ch"|"wwmYHk-pueZp%-cCmGCA"
"mailys.chamberlin@edu.tbz.ch"|"mC4JOt-@&XIGQ-801xUQ"
