"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"V@pnHE-uAL#SN-1nHsz%"
"angele.edgecumbe@edu.tbz.ch"|"riGpYp-dBubwk-%dF03z"
"zhi.andreasson@edu.tbz.ch"|"pX6n9#-&SoAoJ-h%WPvd"
"judicael.koppeck@edu.tbz.ch"|"3BizDe-IEA4pH-gja@Sg"
"berengere.capron@edu.tbz.ch"|"V6CguC-ljgkFN-@1YDB@"
"leonie.brosini@edu.tbz.ch"|"u@g0cC-2omm9J-dwnArd"
"venus.garfit@edu.tbz.ch"|"UTuHGc-Loygh&-vc5%CV"
"melina.janota@edu.tbz.ch"|"Djl6sv-c8lhYK-@axWl9"
"laurene.bake@edu.tbz.ch"|"ZZPSS@-4$QAZw-kWCes@"
"regine.dorkins@edu.tbz.ch"|"jpBud%-6cZ0mu-JgC#gx"
"cecile.moffet@edu.tbz.ch"|"j1orgN-MVIfUD-yQVd$J"
"maelann.labrone@edu.tbz.ch"|"6QX%01-PgLgVK-@EKmS2"
"melinda.newbold@edu.tbz.ch"|"Kkt6hE-IrfBB3-I5HDVN"
"mans.itzhak@edu.tbz.ch"|"8%sWp4-BtZW1c-EHuFit"
"melodie.pattlel@edu.tbz.ch"|"10m11P-y#JKYO-V3UXXj"
"celine.bonett@edu.tbz.ch"|"nW$CDH-XxlpKx-HvHDY7"
"adelie.mcgreal@edu.tbz.ch"|"R%icTv-u%y06q-4rmGGw"
"helene.soldan@edu.tbz.ch"|"wWaHur-ybs5Y5-x%rqgX"
"michele.cluer@edu.tbz.ch"|"gqYnPL-NLoiq3-kgMicr"
"maeline.mueller@edu.tbz.ch"|"e1DgwQ-jO13O5-GNMzyW"
"maelann.benedito@edu.tbz.ch"|"d3OIEO-wckR@x-i#c$zI"
"nuo.gransden@edu.tbz.ch"|"U%l$c#-xMuDMv-$OrN4D"
"berengere.stainton@edu.tbz.ch"|"5lNRHk-XThgrC-ZoA&z3"
"wa.sabater@edu.tbz.ch"|"wUJrWk-d4yD@$-SYWmgd"
"anais.cochran@edu.tbz.ch"|"kYysqZ-2Mqc&L-GG3J84"
"gerald.bessant@edu.tbz.ch"|"EiH7bn-Ulrlmf-am%141"
"ruo.coffin@edu.tbz.ch"|"S4&Qdx-vmYk$P-8rGjNC"
"melodie.mustill@edu.tbz.ch"|"UZ$v@q-%J&Ukf-KP5wGb"
"ruo.stanesby@edu.tbz.ch"|"#K&Qm%-KIvgqk-KZJzyr"
"noemie.antognelli@edu.tbz.ch"|"2@8uKF-ss7a1D-vG$azm"
"maelann.hughson@edu.tbz.ch"|"E7V3Le-nff7k1-0HWtVx"
"milena.mieville@edu.tbz.ch"|"2hKwK$-QYzLC#-@LpYsU"
"mailys.chamberlin@edu.tbz.ch"|"id87%&-AFom@h-vIyh@B"
"nadege.tomalin@edu.tbz.ch"|"vjCuNL-LMC$gT-TPrBZk"
"oceane.omara@edu.tbz.ch"|"csAlxO-KvDEy1-WKC$#P"
"cecile.aguirrezabala@edu.tbz.ch"|"QIdvR6-z1n$Jc-@6@ovB"
"maella.gwillim@edu.tbz.ch"|"9C&bgU-bqu8Bf-7rwnPs"
"lea.mcgahey@edu.tbz.ch"|"oVf#BI-w9j2mJ-Ek3FGb"
"laurene.hagerty@edu.tbz.ch"|"qXptyZ-2@&rg$-P@qbQU"
