"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"k3YCo4-WTVgLU-DKI725"
"angele.edgecumbe@edu.tbz.ch"|"t%Artf-Jph6Kg-bCGXCK"
"zhi.andreasson@edu.tbz.ch"|"ig0262-ZAKA4R-vK0Rib"
"judicael.koppeck@edu.tbz.ch"|"rkrVKL-q5Vwep-LZ&8CY"
"berengere.capron@edu.tbz.ch"|"EB2za#-WdLx78-0B39md"
"leonie.brosini@edu.tbz.ch"|"yb9XXx-kILcQo-eB1scY"
"venus.garfit@edu.tbz.ch"|"rCU%uV-nuVeU7-plh4Bk"
"melina.janota@edu.tbz.ch"|"bHn2i%-i5Ado&-zFQhVm"
"laurene.bake@edu.tbz.ch"|"dt1Agd-iBn&hF-t4e2%3"
"regine.dorkins@edu.tbz.ch"|"TMAR55-dcEhZJ-v0$cww"
"cecile.moffet@edu.tbz.ch"|"JLB8V5-djXiS$-c@j1aH"
"maelann.labrone@edu.tbz.ch"|"QTs6sv-gT0n7d-lWnQ1A"
"melinda.newbold@edu.tbz.ch"|"G1gISG-x$ZbRo-QQbIW5"
"mans.itzhak@edu.tbz.ch"|"1kDy06-#CwzXv-p2OUG%"
"melodie.pattlel@edu.tbz.ch"|"zxlQoL-8fo6x5-d3#@pr"
"celine.bonett@edu.tbz.ch"|"@Aua6Y-DxJx1T-mnTV#n"
"adelie.mcgreal@edu.tbz.ch"|"ONSBVy-X#xg9d-CYRkUQ"
"helene.soldan@edu.tbz.ch"|"&IfHQm-@wPbAV-cB$X9Y"
"michele.cluer@edu.tbz.ch"|"Q3c%hz-kS$7Eh-UpopTU"
"maeline.mueller@edu.tbz.ch"|"Yz3j1e-2JxTYO-HVtu5t"
"maelann.benedito@edu.tbz.ch"|"mQXUx6-OYPy6F-6uwNDk"
"nuo.gransden@edu.tbz.ch"|"s2VHi#-2CeJYc-pT9b@9"
"berengere.stainton@edu.tbz.ch"|"n@oEwR-MyqT2X-DVmS02"
"wa.sabater@edu.tbz.ch"|"PqnRNf-NKIRpy-QVa0w9"
"anais.cochran@edu.tbz.ch"|"sCs4Hk-@3SG9l-vrshae"
"gerald.bessant@edu.tbz.ch"|"PFlUHT-7HKtd#-LEwIMx"
"ruo.coffin@edu.tbz.ch"|"gs1jlc-o5oFCY-qKxOHQ"
"melodie.mustill@edu.tbz.ch"|"%om14C-HtdTKo-UwITj5"
"ruo.stanesby@edu.tbz.ch"|"k7iQ66-RM0Ku4-Dd5x%M"
"noemie.antognelli@edu.tbz.ch"|"kDz7eW-p$oqwV-lSSax7"
"maelann.hughson@edu.tbz.ch"|"mZSNDh-SAs1Dn-%lYn9P"
"milena.mieville@edu.tbz.ch"|"h0&FRq-OT@P2u-l6ymFN"
"mailys.chamberlin@edu.tbz.ch"|"FRvzei-&l2AuN-&9uy42"
"nadege.tomalin@edu.tbz.ch"|"hLfxrd-VlORXh-lI83nV"
"oceane.omara@edu.tbz.ch"|"efn&$%-Ak8dCn-xlGY%B"
"cecile.aguirrezabala@edu.tbz.ch"|"2WWG07-AF@UJs-Ql1H1f"
"maella.gwillim@edu.tbz.ch"|"3ayiWk-7wbQS0-3lw47U"
"lea.mcgahey@edu.tbz.ch"|"2XX1Ja-ZTWV2B-%tESTq"
"laurene.hagerty@edu.tbz.ch"|"P@$Q07-Rsl6Nt-WzuBPN"
"dorothee.link@edu.tbz.ch"|"6tQt2W-Lbpns0-Duj80N"
"clementine.kynsey@edu.tbz.ch"|"4qJx%c-ditHA4-%pJ#FE"
"lorene.smitherman@edu.tbz.ch"|"Xry47N-$lH6Lb-q%Vbsy"
"cleopatre.klulicek@edu.tbz.ch"|"wx0s1t-pXSfwH-GtHpV3"
"laurene.castaneda@edu.tbz.ch"|"99nwik-nrhgkR-pTbh1K"
"melia.constant@edu.tbz.ch"|"883lPX-UMio9r-UPtVit"
"lucrece.clunie@edu.tbz.ch"|"omadZV-5ZIEnU-LV$IyM"
"eleonore.mcmurthy@edu.tbz.ch"|"uKoYo3-ADn52r-tPoo%R"
"melia.bevar@edu.tbz.ch"|"pts@yy-xRDW#%-kpvtbD"
"camelia.bontine@edu.tbz.ch"|"mjHvgq-AvSo6u-DFhP5C"
"methode.jozefczak@edu.tbz.ch"|"$%HLV7-iW2#M4-DAHG98"
"audreanne.hinsche@edu.tbz.ch"|"aV12uN-Yg6Rc9-nLmRv1"
"andree.varne@edu.tbz.ch"|"X6Pd2x-q9EdCp-qPRwP%"
"marten.kinleyside@edu.tbz.ch"|"ONIypy-xMyvSN-L%6xp@"
"esteve.mcewan@edu.tbz.ch"|"goZ@rO-ua7sov-%kdpTZ"
"leane.dibbert@edu.tbz.ch"|"17maxk-AgeGfY-ji9RQW"
"ma.thewlis@edu.tbz.ch"|"LqNTbi-e0DX2A-Gkb2UY"
"clea.djurkovic@edu.tbz.ch"|"HQ@UCZ-xVU5Wb-FXV@E7"
"rachele.reburn@edu.tbz.ch"|"tRJ079-nZrh#w-hWh&yr"
"gerald.gowling@edu.tbz.ch"|"YyZF5S-JMXAGF-QfnV1R"
"cleopatre.jackson@edu.tbz.ch"|"Q3c#rk-D7gDRP-WVEKsI"
"desiree.haskins@edu.tbz.ch"|"ICsGJE-TW7PhK-m69rDl"
"eleonore.longson@edu.tbz.ch"|"$0tGxT-NFaB9A-l1IykD"
"leane.dybell@edu.tbz.ch"|"&QaT0J-Fnli5H-jBJQhk"
"becassine.grzesiak@edu.tbz.ch"|"Vl7Czm-5ou2fG-LM2EwW"
"marie-josee.pickin@edu.tbz.ch"|"xO8n9@-4hAdvH-e58JE%"
"marie-josee.roxby@edu.tbz.ch"|"6AWtd#-DeYBG2-%zK62Q"
"leonie.feenan@edu.tbz.ch"|"8JF7Ql-rB0TFJ-sFupKP"
"valerie.ellum@edu.tbz.ch"|"d3pDch-NUEYHZ-OY9cdK"
"ju.caseri@edu.tbz.ch"|"Klr&Hi-SrTK&#-vbLv3x"
"boerje.strangman@edu.tbz.ch"|"uL#ell-p&mqx$-C@WT9#"
"beatrice.ghidelli@edu.tbz.ch"|"Xl7T&i-W9DciT-OlBQMj"
"da.jablonski@edu.tbz.ch"|"vFadAB-HWIEbC-X%Y0ey"
"uo.beveridge@edu.tbz.ch"|"kdclA@-eBzBcE-$FOCtl"
"valerie.bestman@edu.tbz.ch"|"iOba8z-H89JlI-2uhvV3"
"marlene.pohls@edu.tbz.ch"|"RP&VwO-I%KboE-qCwBW8"
"ma.nolda@edu.tbz.ch"|"H1249o-opum5#-yZv3ow"
"marlene.bisiker@edu.tbz.ch"|"N2x%nf-q&Nk0&-coBu99"
"estee.babon@edu.tbz.ch"|"V&yymv-d&FeWk-hZS#ZS"
"simplifies.dmisek@edu.tbz.ch"|"7zunWw-X3AKeW-WZ6JEk"
"selene.ganing@edu.tbz.ch"|"hFjmwe-vYU#n7-&bUxq0"
"meryl.penke@edu.tbz.ch"|"g6aRvu-M3h2aA-BB2K1f"
"anais.rawcliff@edu.tbz.ch"|"Lt@HAM-zFFq2I-2w7f2Z"
"melina.andri@edu.tbz.ch"|"oornSW-o$bTcQ-mlhuC#"
