"mail"|"password"
"melodie.vandervlies@edu.tbz.ch"|"WFbMJZ-eEwSh0-UE%bo5"
"angele.edgecumbe@edu.tbz.ch"|"wfPxUQ-i@vP1I-4eJ1lw"
"zhi.andreasson@edu.tbz.ch"|"#bTolt-1U#3@0-LyXyP5"
"judicael.koppeck@edu.tbz.ch"|"R0DFuU-mQzs@U-c1XF3R"
"berengere.capron@edu.tbz.ch"|"fWac1N-d2x@b4-VySfAW"
"leonie.brosini@edu.tbz.ch"|"IzFwD7-zt92Ow-wLbiyZ"
"venus.garfit@edu.tbz.ch"|"wrQAcB-loeLyM-XlpHKe"
"melina.janota@edu.tbz.ch"|"fruW8N-6inzG0-2Qp2bf"
"laurene.bake@edu.tbz.ch"|"gaAuI$-%wEMB8-wbw9KU"
"regine.dorkins@edu.tbz.ch"|"J$M4xK-89P$rT-h%R5L7"
"cecile.moffet@edu.tbz.ch"|"j#RmNf-48&lr8-jSwbES"
"maelann.labrone@edu.tbz.ch"|"Q6oROg-PB5CtH-uznexc"
"melinda.newbold@edu.tbz.ch"|"SRyvCQ-puhI&L-4i%3eQ"
"mans.itzhak@edu.tbz.ch"|"bqNatp-w&573o-wPdHT4"
"melodie.pattlel@edu.tbz.ch"|"0&D4Yo-6ZIwwH-hSM00g"
"celine.bonett@edu.tbz.ch"|"dMPMcP-eE0PKa-c8peDw"
"adelie.mcgreal@edu.tbz.ch"|"fver&s-hRTWgh-nJCumA"
"helene.soldan@edu.tbz.ch"|"aSZ@P0-L$YNBk-LI0Kc&"
"michele.cluer@edu.tbz.ch"|"sP#Jzx-&9zwGf-DQMdfW"
"maeline.mueller@edu.tbz.ch"|"wi5cj1-X1scSA-UBJCft"
"maelann.benedito@edu.tbz.ch"|"bKb8Wi-CvlLy2-uY1vVS"
"nuo.gransden@edu.tbz.ch"|"tgj@4e-7vLoU8-%aLaww"
"berengere.stainton@edu.tbz.ch"|"Q@w1n7-E3VSHo-Cf3Uze"
"wa.sabater@edu.tbz.ch"|"rMiUJ&-xcL&5&-3Ts$VY"
"anais.cochran@edu.tbz.ch"|"jaj%tD-3vq83#-H5MA1t"
"gerald.bessant@edu.tbz.ch"|"Yw&z11-#kKXTG-qx2nQb"
"ruo.coffin@edu.tbz.ch"|"$oMd67-qHo8WP-pGE3Yz"
"melodie.mustill@edu.tbz.ch"|"aupS$2-6p6NBQ-NkbpB9"
"ruo.stanesby@edu.tbz.ch"|"GbuQl#-6A49mg-wo0lrQ"
"noemie.antognelli@edu.tbz.ch"|"gdPi@o-X%2hoW-IM$708"
"maelann.hughson@edu.tbz.ch"|"$CSAsJ-M&m26W-Ww1@uT"
"milena.mieville@edu.tbz.ch"|"CuhOS#-e4X%Bj-HSusle"
"mailys.chamberlin@edu.tbz.ch"|"tCQI9l-QC@Ik8-hO42@z"
"nadege.tomalin@edu.tbz.ch"|"jnHweL-IokSny-OSipSW"
"oceane.omara@edu.tbz.ch"|"b@l0e@-cSSLnw-1EOG14"
